size,banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
320x480,320,480,bubbles.pop.power,MILLENNIAL,6,0.5634432159727134
320x480,320,480,bubbles.pop.power,MILLENNIAL,10,0.8480914203072375
320x480,320,480,bubbles.pop.power,MILLENNIAL,16,1.6609388573343198
320x480,320,480,bubbles.pop.power,MILLENNIAL,17,1.3906163400006804
320x480,320,480,bubbles.pop.power,MILLENNIAL,19,1.8549693436560137
320x480,320,480,com.clement.ballmayhem,APP_LOVIN,4,1.0012103076047376
320x480,320,480,com.clement.ballmayhem,APP_LOVIN,17,2.210601474030258
320x480,320,480,com.colorup.game,APP_LOVIN,8,0.6226459576402745
320x480,320,480,com.colorup.game,APP_LOVIN,9,0.9261962068056485
320x480,320,480,com.colorup.game,APP_LOVIN,10,0.7110490967596326
320x480,320,480,com.colorup.game,APP_LOVIN,11,1.216745942612986
320x480,320,480,com.colorup.game,APP_LOVIN,12,0.8757488575809383
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,4,0.4385536803976365
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,5,0.7570391664585834
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,9,0.7277244710135833
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,10,0.9526712699735033
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,11,1.2899997619599604
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,12,1.4759499582504736
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,13,1.5721888096829848
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,14,1.5783674498746036
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,15,1.773353744856403
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,16,0.41842670955307465
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,17,1.8590757098684643
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,18,1.604975447576696
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,20,1.3955220271449633
320x480,320,480,com.fiogonia.dominoes,APP_LOVIN,21,1.4108466407404028
320x480,320,480,com.fiogonia.dominoes,MOPUB,18,2.88445853724504
320x480,320,480,com.fiogonia.spades,MOPUB,11,2.1405938802746434
320x480,320,480,com.fiogonia.spades,MOPUB,19,2.6510912032776695
320x480,320,480,com.fiogonia.yatzy,MOPUB,15,1.0056544170893333
320x480,320,480,com.fiogonia.yatzy,MOPUB,20,0.7487332920889628
320x480,320,480,com.fiogonia.yatzy,MOPUB,21,0.6339631772164285
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,4,0.48240469268408653
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,5,0.4904897494548274
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,6,0.6726259729313557
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,7,0.5763940216550113
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,8,0.6371869011761259
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,9,0.6924075889900182
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,10,0.6901061364479455
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,11,0.9469360240350233
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,12,1.0131237846332322
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,13,1.1288776357224555
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,14,1.4552309950589781
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,15,1.4583492064157197
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,16,1.4125347260476637
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,17,1.442492295983436
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,18,1.3269937163063572
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,19,1.1881293373241786
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,20,1.0079329453332397
320x480,320,480,com.freegame.solitaire.basic2,APP_LOVIN,21,0.8488156593713111
320x480,320,480,com.geishatokyo.snowballio,MOPUB,4,0.4790443764421392
320x480,320,480,com.geishatokyo.snowballio,MOPUB,5,0.5673994056709171
320x480,320,480,com.geishatokyo.snowballio,MOPUB,6,0.6581664724638757
320x480,320,480,com.geishatokyo.snowballio,MOPUB,7,0.7646732724479016
320x480,320,480,com.geishatokyo.snowballio,MOPUB,8,0.9101706968440486
320x480,320,480,com.geishatokyo.snowballio,MOPUB,9,0.6738508583010284
320x480,320,480,com.geishatokyo.snowballio,MOPUB,10,0.7192746803627829
320x480,320,480,com.geishatokyo.snowballio,MOPUB,11,1.043049684014415
320x480,320,480,com.geishatokyo.snowballio,MOPUB,12,0.7903120157561656
320x480,320,480,com.geishatokyo.snowballio,MOPUB,13,1.181670408301551
320x480,320,480,com.geishatokyo.snowballio,MOPUB,14,1.4007719701244312
320x480,320,480,com.geishatokyo.snowballio,MOPUB,15,1.1660310311982216
320x480,320,480,com.geishatokyo.snowballio,MOPUB,16,1.0618452442829005
320x480,320,480,com.geishatokyo.snowballio,MOPUB,17,1.3853541633455597
320x480,320,480,com.geishatokyo.snowballio,MOPUB,18,1.1257720216028153
320x480,320,480,com.geishatokyo.snowballio,MOPUB,19,1.0653270050913501
320x480,320,480,com.geishatokyo.snowballio,MOPUB,20,0.9790587825146836
320x480,320,480,com.geishatokyo.snowballio,MOPUB,21,0.7789410831728056
320x480,320,480,com.glu.baseball18,MOPUB,4,0.5909155690540469
320x480,320,480,com.glu.baseball18,MOPUB,5,0.6196476104955173
320x480,320,480,com.glu.baseball18,MOPUB,6,0.7629698374730635
320x480,320,480,com.glu.baseball18,MOPUB,7,0.7980899025653144
320x480,320,480,com.glu.baseball18,MOPUB,8,0.8691538254033864
320x480,320,480,com.glu.baseball18,MOPUB,9,0.81865084770611
320x480,320,480,com.glu.baseball18,MOPUB,10,0.8844031624202573
320x480,320,480,com.glu.baseball18,MOPUB,11,1.1263394129272981
320x480,320,480,com.glu.baseball18,MOPUB,12,1.093243165310477
320x480,320,480,com.glu.baseball18,MOPUB,13,1.2528402751734162
320x480,320,480,com.glu.baseball18,MOPUB,14,1.5614896279719024
320x480,320,480,com.glu.baseball18,MOPUB,15,1.4982889693178707
320x480,320,480,com.glu.baseball18,MOPUB,16,1.4599396267075673
320x480,320,480,com.glu.baseball18,MOPUB,17,1.4625974168645197
320x480,320,480,com.glu.baseball18,MOPUB,18,1.3745779818890966
320x480,320,480,com.glu.baseball18,MOPUB,19,1.3112020711970298
320x480,320,480,com.glu.baseball18,MOPUB,20,1.0444641826072854
320x480,320,480,com.glu.baseball18,MOPUB,21,0.8872398303750949
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,4,0.3560476708696703
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,5,0.44125096693731525
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,6,0.5301360845239157
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,9,0.7777786837468009
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,10,0.5658186640537982
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,11,0.7696776817208395
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,12,0.7477026296683948
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,13,0.813638135421316
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,14,1.095752485106717
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,15,1.161777268509309
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,16,1.4229378086062612
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,17,1.087151046614944
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,18,1.0278742953726874
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,19,0.9244743086180602
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,20,0.8729230070190094
320x480,320,480,com.itchmedia.ta3,APP_LOVIN,21,0.6457801203511478
320x480,320,480,com.kudo.icecrush,MOPUB,4,0.5902755292847115
320x480,320,480,com.kudo.icecrush,MOPUB,5,0.13578615384634304
320x480,320,480,com.kudo.icecrush,MOPUB,6,0.21442010974326914
320x480,320,480,com.kudo.icecrush,MOPUB,7,0.8144881823438578
320x480,320,480,com.kudo.icecrush,MOPUB,8,0.5559689819859013
320x480,320,480,com.kudo.icecrush,MOPUB,9,0.5779404983799549
320x480,320,480,com.kudo.icecrush,MOPUB,10,0.9062030599640956
320x480,320,480,com.kudo.icecrush,MOPUB,11,0.9729391145080895
320x480,320,480,com.kudo.icecrush,MOPUB,12,0.7352216396389517
320x480,320,480,com.kudo.icecrush,MOPUB,13,1.218168289628257
320x480,320,480,com.kudo.icecrush,MOPUB,14,1.49333482025583
320x480,320,480,com.kudo.icecrush,MOPUB,15,1.6575205392964334
320x480,320,480,com.kudo.icecrush,MOPUB,16,1.4107678033331448
320x480,320,480,com.kudo.icecrush,MOPUB,17,1.4033852664666389
320x480,320,480,com.kudo.icecrush,MOPUB,18,1.100658152791004
320x480,320,480,com.kudo.icecrush,MOPUB,19,1.7149888567144072
320x480,320,480,com.kudo.icecrush,MOPUB,20,1.2746743376535716
320x480,320,480,com.kudo.icecrush,MOPUB,21,0.8505831019083321
320x480,320,480,com.mindy.grap1,MOPUB,11,1.997444757883988
320x480,320,480,com.mindy.grap1,MOPUB,12,1.9005032643030035
320x480,320,480,com.mindy.grap1,MOPUB,13,2.540978784442628
320x480,320,480,com.mindy.grap1,MOPUB,14,2.861813337689823
320x480,320,480,com.mindy.grap1,MOPUB,18,2.783770999072977
320x480,320,480,com.mindy.grap1,MOPUB,21,1.232434808893332
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,4,0.3727099856812907
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,5,0.30777234978212
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,6,0.6925918726527249
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,7,0.717872515570877
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,8,0.4706685970244744
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,9,0.4945341182817038
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,10,0.6139579094186735
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,11,0.8871972100575315
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,12,0.8954194268473157
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,13,0.9961917354460829
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,14,1.2582616032434581
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,15,1.2179489518494238
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,16,1.303353938032262
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,17,1.3103143141995308
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,18,1.2782283357717978
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,19,1.0197515477665973
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,20,0.9214081447745367
320x480,320,480,com.nomonkeys.ballblast,APP_LOVIN,21,0.7645058761478992
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,4,0.3218417061962254
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,5,0.32899643720481947
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,6,0.3979635551501864
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,7,0.39297608244635723
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,8,0.4059806941691645
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,9,0.4703282927575911
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,10,0.4437322119158134
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,11,0.6070707288656896
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,12,0.5857959183406267
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,13,0.6583993418205045
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,14,0.8097587723422562
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,15,0.7593956041529581
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,16,0.7848564458092097
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,17,0.8149531946544246
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,18,0.7259634624878906
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,19,0.7219833239904969
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,20,0.581240720463546
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,21,0.4737319272545912
320x480,320,480,com.tripledot.solitaire,MOPUB,19,3.3326689026046017
320x480,320,480,com.tripledot.solitaire,MOPUB,20,2.365184005004191
320x480,320,480,com.tripledot.solitaire,MOPUB,21,1.1865458466605079
320x480,320,480,com.withbuddies.dice.free,MOPUB,4,0.7335430278895011
320x480,320,480,com.withbuddies.dice.free,MOPUB,8,1.2022831374415226
320x480,320,480,com.withbuddies.dice.free,MOPUB,9,1.0322667328056772
320x480,320,480,com.withbuddies.dice.free,MOPUB,10,1.122798631493719
320x480,320,480,com.withbuddies.dice.free,MOPUB,11,1.3709783244068339
320x480,320,480,com.withbuddies.dice.free,MOPUB,12,1.3709783244068339
320x480,320,480,com.withbuddies.dice.free,MOPUB,13,1.6132417467110027
320x480,320,480,com.withbuddies.dice.free,MOPUB,14,2.069832192500293
320x480,320,480,com.withbuddies.dice.free,MOPUB,15,1.91783385363992
320x480,320,480,com.withbuddies.dice.free,MOPUB,16,2.0799539162806955
320x480,320,480,com.withbuddies.dice.free,MOPUB,17,1.91783385363992
320x480,320,480,com.withbuddies.dice.free,MOPUB,18,1.885976090978149
320x480,320,480,com.withbuddies.dice.free,MOPUB,19,1.7563913044111612
320x480,320,480,com.withbuddies.dice.free,MOPUB,20,1.4362608581501657
320x480,320,480,com.withbuddies.dice.free,MOPUB,21,1.3878393686442967
320x480,320,480,freedom.bubble,MILLENNIAL,4,0.5347441397242582
320x480,320,480,freedom.bubble,MILLENNIAL,5,0.31184864302645643
320x480,320,480,freedom.bubble,MILLENNIAL,6,0.4243083199466265
320x480,320,480,freedom.bubble,MILLENNIAL,8,0.5119532712602698
320x480,320,480,freedom.bubble,MILLENNIAL,10,0.6209527019199513
320x480,320,480,freedom.bubble,MILLENNIAL,12,1.301242382818448
320x480,320,480,freedom.bubble,MILLENNIAL,13,1.1177554874907611
320x480,320,480,freedom.bubble,MILLENNIAL,14,1.5103767318216488
320x480,320,480,freedom.bubble,MILLENNIAL,16,1.4583045593320711
320x480,320,480,freedom.bubble,MILLENNIAL,17,1.4212079021779642
320x480,320,480,freedom.bubble,MILLENNIAL,18,1.8884440453457072
320x480,320,480,freedom.bubble,MILLENNIAL,19,1.3950042751302902
320x480,320,480,freedom.bubble,MILLENNIAL,20,1.009377543950325
320x480,320,480,freedom.bubble,MILLENNIAL,21,0.8424430233105541
320x480,320,480,game.puzzle.woodypuzzle,APP_LOVIN,15,0.0
320x480,320,480,io.voodoo.paper2,APP_LOVIN,4,0.3835248837785427
320x480,320,480,io.voodoo.paper2,APP_LOVIN,5,0.44106393785366593
320x480,320,480,io.voodoo.paper2,APP_LOVIN,6,0.35948381368992116
320x480,320,480,io.voodoo.paper2,APP_LOVIN,7,0.45084562744686657
320x480,320,480,io.voodoo.paper2,APP_LOVIN,10,0.6288968216662785
320x480,320,480,io.voodoo.paper2,APP_LOVIN,11,0.9819955539152989
320x480,320,480,io.voodoo.paper2,APP_LOVIN,12,0.7576777367136255
320x480,320,480,io.voodoo.paper2,APP_LOVIN,13,0.9166156954385212
320x480,320,480,io.voodoo.paper2,APP_LOVIN,14,0.922387032523096
320x480,320,480,io.voodoo.paper2,APP_LOVIN,15,1.1754111321436973
320x480,320,480,io.voodoo.paper2,APP_LOVIN,16,1.3068245191713497
320x480,320,480,io.voodoo.paper2,APP_LOVIN,17,1.0492687706234196
320x480,320,480,io.voodoo.paper2,APP_LOVIN,18,1.053922204320763
320x480,320,480,io.voodoo.paper2,APP_LOVIN,19,0.9041870388097543
320x480,320,480,io.voodoo.paper2,APP_LOVIN,20,0.8567739575871494
320x480,320,480,io.voodoo.paper2,APP_LOVIN,21,0.6688951918646869
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,4,0.33848828729373065
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,6,0.6538162280291133
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,7,0.6538162280291133
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,9,0.8102104943917414
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,10,0.6220058298547003
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,11,1.0402083832390239
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,12,1.0206655494536845
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,13,1.2500121736783125
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,14,1.4857543838824416
