size,banner_width,banner_height,inventory_source,hour_of_day_utc,value
320x480,320,480,APP_LOVIN,4,0.43637039005477074
320x480,320,480,APP_LOVIN,5,0.4700740569379062
320x480,320,480,APP_LOVIN,6,0.5528203606279173
320x480,320,480,APP_LOVIN,7,0.5778422125375315
320x480,320,480,APP_LOVIN,8,0.5937397071962316
320x480,320,480,APP_LOVIN,9,0.702195284232997
320x480,320,480,APP_LOVIN,10,0.6529690070164446
320x480,320,480,APP_LOVIN,11,0.9467065645509949
320x480,320,480,APP_LOVIN,12,0.9612468751715572
320x480,320,480,APP_LOVIN,13,1.0667767823008552
320x480,320,480,APP_LOVIN,14,1.3763800530589805
320x480,320,480,APP_LOVIN,15,1.3737981615179506
320x480,320,480,APP_LOVIN,16,1.3722036012672865
320x480,320,480,APP_LOVIN,17,1.381942056026862
320x480,320,480,APP_LOVIN,18,1.289016406673622
320x480,320,480,APP_LOVIN,19,1.1303044504801907
320x480,320,480,APP_LOVIN,20,0.9742245739606258
320x480,320,480,APP_LOVIN,21,0.8232090961822813
320x480,320,480,MILLENNIAL,4,0.5347441397242582
320x480,320,480,MILLENNIAL,5,0.31184864302645643
320x480,320,480,MILLENNIAL,6,0.47068661862198885
320x480,320,480,MILLENNIAL,8,0.5119532712602698
320x480,320,480,MILLENNIAL,10,0.6966656080490466
320x480,320,480,MILLENNIAL,12,1.301242382818448
320x480,320,480,MILLENNIAL,13,1.1177554874907611
320x480,320,480,MILLENNIAL,14,1.5103767318216488
320x480,320,480,MILLENNIAL,16,1.5393582785329705
320x480,320,480,MILLENNIAL,17,1.4135600116336433
320x480,320,480,MILLENNIAL,18,1.8884440453457072
320x480,320,480,MILLENNIAL,19,1.5099955422617213
320x480,320,480,MILLENNIAL,20,1.009377543950325
320x480,320,480,MILLENNIAL,21,0.8424430233105541
320x480,320,480,MOPUB,4,0.5231702066179361
320x480,320,480,MOPUB,5,0.5302228852100075
320x480,320,480,MOPUB,6,0.6466612992036648
320x480,320,480,MOPUB,7,0.6500022247793814
320x480,320,480,MOPUB,8,0.7269432297536594
320x480,320,480,MOPUB,9,0.7029389371338329
320x480,320,480,MOPUB,10,0.7609794043935251
320x480,320,480,MOPUB,11,1.0191295407934073
320x480,320,480,MOPUB,12,0.9043165805834923
320x480,320,480,MOPUB,13,1.118496274155886
320x480,320,480,MOPUB,14,1.3253857497576138
320x480,320,480,MOPUB,15,1.2529605743556278
320x480,320,480,MOPUB,16,1.4192896687329684
320x480,320,480,MOPUB,17,1.4000072184933636
320x480,320,480,MOPUB,18,1.3147678661819227
320x480,320,480,MOPUB,19,1.2588321110185825
320x480,320,480,MOPUB,20,0.9875072496504288
320x480,320,480,MOPUB,21,0.7957522269963514
480x320,480,320,APP_LOVIN,4,0.2905912435503876
480x320,480,320,APP_LOVIN,5,0.3879861644124665
480x320,480,320,APP_LOVIN,6,0.5664187186510905
480x320,480,320,APP_LOVIN,7,0.5707958508024309
480x320,480,320,APP_LOVIN,9,0.5476288262160559
480x320,480,320,APP_LOVIN,10,0.5820995145998424
480x320,480,320,APP_LOVIN,11,0.9758576278832995
480x320,480,320,APP_LOVIN,12,0.7341717209754957
480x320,480,320,APP_LOVIN,13,1.207467720684517
480x320,480,320,APP_LOVIN,14,1.339718708790516
480x320,480,320,APP_LOVIN,15,1.1201308259460152
480x320,480,320,APP_LOVIN,16,1.2650367829063933
480x320,480,320,APP_LOVIN,17,1.261879438174178
480x320,480,320,APP_LOVIN,18,0.8501710874120478
480x320,480,320,APP_LOVIN,19,1.1142542005368476
480x320,480,320,APP_LOVIN,20,0.8131737981006392
480x320,480,320,APP_LOVIN,21,0.7238042690100941
480x320,480,320,MOPUB,4,0.5029341801550584
480x320,480,320,MOPUB,5,0.46420242316465876
480x320,480,320,MOPUB,6,0.7076115230189716
480x320,480,320,MOPUB,7,0.5532462779042149
480x320,480,320,MOPUB,8,0.7615093788710517
480x320,480,320,MOPUB,9,0.6046484132498788
480x320,480,320,MOPUB,10,0.7124570206159514
480x320,480,320,MOPUB,11,0.7956777953254404
480x320,480,320,MOPUB,12,0.973539268844547
480x320,480,320,MOPUB,13,0.862306657873568
480x320,480,320,MOPUB,14,1.1237940145560428
480x320,480,320,MOPUB,15,1.228936050445416
480x320,480,320,MOPUB,16,0.9944093346628393
480x320,480,320,MOPUB,17,1.27490660073649
480x320,480,320,MOPUB,18,1.0812155449341818
480x320,480,320,MOPUB,19,0.8833216752251282
480x320,480,320,MOPUB,20,0.8717027794195877
480x320,480,320,MOPUB,21,0.7319361388708367
