banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
320,480,bubbles.pop.power,MILLENNIAL,17,0.20445041762951865
320,480,bubbles.pop.power,MILLENNIAL,18,0.12763073203212716
320,480,bubbles.pop.power,MILLENNIAL,19,0.09807309737778146
320,480,bubbles.pop.power,MILLENNIAL,20,0.10408796063950801
320,480,com.freegame.solitaire.basic2,APP_LOVIN,16,0.2469502348924893
320,480,com.freegame.solitaire.basic2,APP_LOVIN,19,0.07978969066974564
320,480,com.geishatokyo.snowballio,MOPUB,14,1.4484257606148523
320,480,com.geishatokyo.snowballio,MOPUB,15,1.16316079515285
320,480,com.glu.baseball18,MOPUB,10,0.20904457088367243
320,480,com.glu.baseball18,MOPUB,11,0.22380367855458794
320,480,com.glu.baseball18,MOPUB,12,0.24448719331602164
320,480,com.glu.baseball18,MOPUB,13,0.31314879575805105
320,480,com.glu.baseball18,MOPUB,14,0.273922423358143
320,480,com.glu.baseball18,MOPUB,15,0.3699095629489114
320,480,com.glu.baseball18,MOPUB,16,0.3653036696731554
320,480,com.glu.baseball18,MOPUB,17,0.24060049845988374
320,480,com.glu.baseball18,MOPUB,18,0.12707391062943538
320,480,com.glu.baseball18,MOPUB,19,0.14668974180449051
320,480,com.glu.baseball18,MOPUB,20,0.15348547845153176
320,480,com.glu.baseball18,MOPUB,21,0.1538335887513185
320,480,com.glu.baseball18,MOPUB,22,0.1055807462052892
320,480,com.kudo.icecrush,MOPUB,14,2.3930710464031617
320,480,com.kudo.icecrush,MOPUB,15,1.154980357140014
320,480,com.kudo.icecrush,MOPUB,17,0.8968838697969409
320,480,com.kudo.icecrush,MOPUB,18,0.6678466353067619
320,480,com.withbuddies.dice.free,MOPUB,20,1.3229299697702688
320,480,com.withbuddies.dice.free,MOPUB,21,0.7729652453907915
480,320,com.gsn.android.tripeaks,MOPUB,11,0.6763803183485435
480,320,com.gsn.android.tripeaks,MOPUB,12,1.4178113644406491
480,320,com.gsn.android.tripeaks,MOPUB,13,1.8673390653491175
480,320,com.gsn.android.tripeaks,MOPUB,14,1.8589050581481414
480,320,com.gsn.android.tripeaks,MOPUB,15,1.8941859943513728
480,320,com.gsn.android.tripeaks,MOPUB,16,1.9628948217627473
480,320,com.gsn.android.tripeaks,MOPUB,17,1.3983043739101313
480,320,com.gsn.android.tripeaks,MOPUB,18,1.1702033987473581
480,320,com.gsn.android.tripeaks,MOPUB,19,1.0987805629620824
480,320,com.gsn.android.tripeaks,MOPUB,20,0.8242576819772763
480,320,com.gsn.android.tripeaks,MOPUB,21,0.8007877723248918
768,1024,com.glu.baseball18,MOPUB,12,0.18732026472785374
768,1024,com.glu.baseball18,MOPUB,16,0.184983226222564
768,1024,com.glu.baseball18,MOPUB,18,0.12939489748038127
768,1024,com.glu.baseball18,MOPUB,19,0.165178841603303
768,1024,com.glu.baseball18,MOPUB,20,0.13577180934808733
768,1024,com.glu.baseball18,MOPUB,21,0.1754387109310081
,,UNKNOWN,GOOGLE_ADX,18,0.0
,,UNKNOWN,GOOGLE_ADX,21,0.0
,,UNKNOWN,INDEX_EXCHANGE,21,0.0
,,UNKNOWN,MOPUB,15,0.0
,,UNKNOWN,MOPUB,16,0.0
,,UNKNOWN,MOPUB,20,0.0
,,UNKNOWN,MOPUB,21,0.0
,,UNKNOWN,MOPUB,22,0.0
,,UNKNOWN,OPENX,21,0.0
,,UNKNOWN,PULSEPOINT,20,0.0
,,UNKNOWN,PULSEPOINT,21,0.0
,,UNKNOWN,PULSEPOINT,22,0.0
,,UNKNOWN,RUBICON,16,0.0
,,UNKNOWN,RUBICON,17,0.0
,,UNKNOWN,RUBICON,19,0.0
,,UNKNOWN,RUBICON,20,0.0
,,UNKNOWN,RUBICON,21,0.0
