banner_width,banner_height,inventory_source,hour_of_day_utc,value
320,480,APP_LOVIN,16,0.2469502348924893
320,480,APP_LOVIN,19,0.07978969066974564
320,480,MILLENNIAL,17,0.20445041762951865
320,480,MILLENNIAL,18,0.12763073203212716
320,480,MILLENNIAL,19,0.09807309737778146
320,480,MILLENNIAL,20,0.10408796063950801
320,480,MOPUB,10,0.20904457088367243
320,480,MOPUB,11,0.22380367855458794
320,480,MOPUB,12,0.24448719331602164
320,480,MOPUB,13,0.31314879575805105
320,480,MOPUB,14,0.3918058021614156
320,480,MOPUB,15,0.37028373687522265
320,480,MOPUB,16,0.3653036696731554
320,480,MOPUB,17,0.24226681367143205
320,480,MOPUB,18,0.1295016119421758
320,480,MOPUB,19,0.14668974180449051
320,480,MOPUB,20,0.1538335887513185
320,480,MOPUB,21,0.15623775718336075
320,480,MOPUB,22,0.1055807462052892
480,320,MOPUB,11,0.6763803183485435
480,320,MOPUB,12,1.4178113644406491
480,320,MOPUB,13,1.8673390653491175
480,320,MOPUB,14,1.8589050581481414
480,320,MOPUB,15,1.8941859943513728
480,320,MOPUB,16,1.9628948217627473
480,320,MOPUB,17,1.3983043739101313
480,320,MOPUB,18,1.1702033987473581
480,320,MOPUB,19,1.0987805629620824
480,320,MOPUB,20,0.8242576819772763
480,320,MOPUB,21,0.8007877723248918
768,1024,MOPUB,12,0.18732026472785374
768,1024,MOPUB,16,0.184983226222564
768,1024,MOPUB,18,0.12939489748038127
768,1024,MOPUB,19,0.165178841603303
768,1024,MOPUB,20,0.13577180934808733
768,1024,MOPUB,21,0.1754387109310081
,,AERSERV,17,0.1324950302326214
,,GOOGLE_ADX,10,0.7916647303986958
,,GOOGLE_ADX,11,1.074675989138045
,,GOOGLE_ADX,12,0.20569811563635712
,,GOOGLE_ADX,13,0.7273890992117529
,,GOOGLE_ADX,14,1.5338365115753883
,,GOOGLE_ADX,15,1.6002084741425413
,,GOOGLE_ADX,16,1.500258320400206
,,GOOGLE_ADX,17,1.3520698273528964
,,GOOGLE_ADX,18,1.0141008094595942
,,GOOGLE_ADX,19,0.9699688386021642
,,GOOGLE_ADX,20,0.5450069672793314
,,GOOGLE_ADX,21,0.9353214882081964
,,GOOGLE_ADX,22,0.5064667043486918
,,INDEX_EXCHANGE,10,0.19414242888295183
,,INDEX_EXCHANGE,11,0.22117840585005277
,,INDEX_EXCHANGE,12,0.260128680513234
,,INDEX_EXCHANGE,13,0.3041575841500865
,,INDEX_EXCHANGE,14,0.3041575841500865
,,INDEX_EXCHANGE,15,0.43414303987689035
,,INDEX_EXCHANGE,16,0.4650851867016041
,,INDEX_EXCHANGE,17,0.3200931471347289
,,INDEX_EXCHANGE,18,0.20514908425620393
,,INDEX_EXCHANGE,19,0.24291244203252846
,,INDEX_EXCHANGE,20,0.2992807621468155
,,INDEX_EXCHANGE,21,0.28469762685489064
,,INDEX_EXCHANGE,22,0.1318343763352966
,,MOPUB,15,0.0
,,MOPUB,16,0.0
,,MOPUB,20,0.0
,,MOPUB,21,0.0
,,MOPUB,22,0.0
,,OPENX,11,0.1618423505020724
,,OPENX,12,0.35173600190946147
,,OPENX,13,0.11363367638136591
,,OPENX,14,0.30271989114962644
,,OPENX,15,0.49011326827214685
,,OPENX,16,0.7013583990640181
,,OPENX,17,0.25333816298739265
,,OPENX,18,0.11207256638191003
,,OPENX,19,0.34132990191327434
,,OPENX,20,0.1847180068321421
,,OPENX,21,0.24824306674450838
,,OPENX,22,0.04534016011539772
,,PULSEPOINT,10,0.2604913017111658
,,PULSEPOINT,11,0.24973836538859517
,,PULSEPOINT,12,0.24651686683939283
,,PULSEPOINT,13,0.23423664466714944
,,PULSEPOINT,14,0.9289597910673835
,,PULSEPOINT,15,1.0506220177223158
,,PULSEPOINT,16,1.1678659238168487
,,PULSEPOINT,17,1.090912018576158
,,PULSEPOINT,18,0.514641903702886
,,PULSEPOINT,19,0.877242579737388
,,PULSEPOINT,20,1.1368094633318522
,,PULSEPOINT,21,1.2062886642574602
,,PULSEPOINT,22,0.4317244181934192
,,RUBICON,10,0.8716494317621057
,,RUBICON,11,0.7933355740941593
,,RUBICON,12,1.0640837553848073
,,RUBICON,13,2.251879937028591
,,RUBICON,14,1.4329807746588645
,,RUBICON,15,1.3022327521563113
,,RUBICON,16,1.085587190959651
,,RUBICON,17,1.49808434981096
,,RUBICON,18,1.1704900427712166
,,RUBICON,19,1.4165044181882531
,,RUBICON,20,0.9512663882277613
,,RUBICON,21,0.8905802558820946
,,RUBICON,22,0.4843566113149948
,,SMARTADSERVER,10,0.30281504254593183
,,SMARTADSERVER,11,0.21629636342499406
,,SMARTADSERVER,14,0.4984621069602688
,,SMARTADSERVER,15,0.5808435959234548
,,SMARTADSERVER,16,0.36676342931242545
,,SPOTX,16,4.169559963089597
,,SPOTX,17,3.7751296912840777
,,SPOTX,18,2.887529983899636
,,SPOTX,19,3.5194347177097263
,,SPOTX,20,2.9944233581366375
,,SPOTX,21,2.808550031119747
,,TREMOR,18,0.23865538434418015
,,TREMOR,19,0.12116130557614384
,,TREMOR,20,0.19458551719867362
,,TREMOR,21,0.19458551719867362
,,UNITY,10,0.5612829861828661
,,UNITY,11,0.669676023609101
,,UNITY,12,0.6325405747102534
,,UNITY,13,0.5259168074216386
,,UNITY,14,0.5160677774414395
,,UNITY,15,0.7725281130387571
,,UNITY,16,0.7922317566673192
,,UNITY,17,0.3475744273562294
,,UNITY,18,0.1966967567854766
,,UNITY,19,0.32459136822643564
,,UNITY,20,0.299124485798305
,,UNITY,21,0.21686482770316717
,,UNITY,22,0.21107240139961736
